Token,POS_Tag
"
    ",SPACE
techcorp,PROPN
",",PUNCT
a,DET
leading,VERB
tech,NOUN
company,NOUN
based,VERB
in,ADP
new,PROPN
york,PROPN
",",PUNCT
announced,VERB
on,ADP
monday,PROPN
that,SCONJ
ceo,NOUN
jane,NOUN
doe,PROPN
plans,VERB
to,PART
introduce,VERB
a,DET
new,ADJ
aipowered,VERB
smartphone,NOUN
.,PUNCT
"
    ",SPACE
the,DET
device,NOUN
",",PUNCT
named,VERB
nexus,NOUN
x,SYM
",",PUNCT
will,AUX
debut,VERB
in,ADP
paris,PROPN
next,ADJ
month,NOUN
.,PUNCT
meanwhile,ADV
",",PUNCT
critics,NOUN
like,ADP
dr,PROPN
.,PROPN
mark,PROPN
smith,PROPN
argue,VERB
that,SCONJ
the,DET
launch,NOUN
could,AUX
impact,VERB
environmental,ADJ
policies,NOUN
.,PUNCT
"
    ",SPACE
the,DET
company,NOUN
also,ADV
partnered,VERB
with,ADP
healthorg,PROPN
",",PUNCT
a,DET
nonprofit,ADJ
",",PUNCT
to,PART
promote,VERB
digital,ADJ
wellness,NOUN
.,PUNCT
apple,NOUN
declined,VERB
to,PART
comment,VERB
on,ADP
the,DET
news,NOUN
.,PUNCT
"
    ",SPACE
the,DET
event,NOUN
will,AUX
coincide,VERB
with,ADP
the,DET
global,ADJ
tech,NOUN
summit,NOUN
2024,NUM
.,PUNCT
"
    ",SPACE
"
    ",SPACE
lionel,PROPN
messi,PROPN
",",PUNCT
the,DET
argentine,ADJ
footballer,NOUN
",",PUNCT
signed,VERB
a,DET
20,NUM
million,NUM
contract,NOUN
with,ADP
miami,PROPN
fc,PROPN
on,ADP
july,PROPN
15,NUM
",",PUNCT
2023,NUM
.,PUNCT
"
    ",SPACE
the,DET
deal,NOUN
was,AUX
announced,VERB
during,ADP
a,DET
press,NOUN
conference,NOUN
at,ADP
hard,ADJ
rock,NOUN
stadium,NOUN
in,ADP
florida,PROPN
.,PUNCT
"
    ",SPACE
fans,NOUN
from,ADP
across,ADP
south,PROPN
america,PROPN
flooded,VERB
social,ADJ
media,NOUN
to,PART
celebrate,VERB
the,DET
move,NOUN
.,PUNCT
"
    ",SPACE
"
    ",SPACE
president,PROPN
john,PROPN
harper,PROPN
met,VERB
with,ADP
german,ADJ
chancellor,PROPN
angela,PROPN
weber,PROPN
in,ADP
berlin,PROPN
last,ADJ
friday,PROPN
to,PART
discuss,VERB
nato,PROPN
policies,NOUN
.,PUNCT
"
    ",SPACE
the,DET
united,PROPN
nations,PROPN
will,AUX
host,VERB
a,DET
climate,NOUN
summit,NOUN
in,ADP
geneva,PROPN
",",PUNCT
switzerland,PROPN
",",PUNCT
in,ADP
december,PROPN
2025,NUM
.,PUNCT
"
    ",SPACE
critics,NOUN
warn,VERB
that,SCONJ
the,DET
new,ADJ
tax,NOUN
law,NOUN
hb,PROPN
1420,NUM
might,AUX
face,VERB
delays,NOUN
in,ADP
congress,PROPN
.,PUNCT
"
    ",SPACE
"
    ",SPACE
marie,PROPN
curie,PROPN
",",PUNCT
born,VERB
in,ADP
warsaw,PROPN
in,ADP
1867,NUM
",",PUNCT
discovered,VERB
radium,NOUN
and,CCONJ
won,VERB
the,DET
nobel,PROPN
prize,PROPN
in,ADP
chemistry,NOUN
in,ADP
1911,NUM
.,PUNCT
"
    ",SPACE
in,ADP
the,DET
great,ADJ
gatsby,NOUN
",",PUNCT
jay,PROPN
gatsby,PROPN
hosts,NOUN
lavish,ADJ
parties,NOUN
in,ADP
west,PROPN
egg,NOUN
",",PUNCT
new,PROPN
york,PROPN
",",PUNCT
reflecting,VERB
the,DET
excesses,NOUN
of,ADP
the,DET
jazz,NOUN
age,NOUN
.,PUNCT
"
    ",SPACE
a,DET
recent,ADJ
study,NOUN
in,ADP
nature,NOUN
journal,NOUN
links,NOUN
sleep,VERB
deprivation,NOUN
to,ADP
decreased,VERB
cognitive,ADJ
performance,NOUN
.,PUNCT
"
    ",SPACE
